X,Y
1.0,14.934283060224654
4.413793103448276,19.30367949381769
7.827586206896552,52.09170179649661
11.241379310344827,86.66749367988464
14.655172413793103,68.59279457449881
18.06896551724138,85.6620884472233
21.482758620689655,138.9980494135961
24.89655172413793,139.83145320374783
28.310344827586206,132.16223641923202
31.724137931034484,169.4718905268917
35.13793103448276,166.42130131616457
38.55172413793103,183.44402561825004
41.96551724137931,214.66683163821722
45.37931034482759,188.63094683098197
48.79310344827586,209.46716059111864
52.206896551724135,249.78873217380124
55.62068965517241,257.84682586917364
59.03448275862069,301.45736044500893
62.44827586206897,294.0808977999206
65.86206896551724,301.0642708008803
69.27586206896552,375.6922857232587
72.6896551724138,358.93274985233825
76.10344827586206,381.8678054730688
79.51724137931035,369.0912431722826
82.93103448275862,403.7675179232894
86.34482758620689,433.94258972523176
89.75862068965517,425.7732318998298
93.17241379310344,473.3760293324307
96.58620689655172,470.9182606843825
100.0,494.16612500413447
